case,case_index,machine_slot,optimizer,schedule,seed,parameter_count,best_val_accuracy,train_steps_total,train_images_seen,elapsed_seconds,train_images_per_second,train_images_per_second_train_only,peak_cuda_memory_reserved_bytes,uses_ema_eval,optimizer_source,optimizer_experiments_commit,test_accessed,quick_smoke
official_muon_cosine,0,work_0_case0_fg,muon_adamw,cosine,7331,9527370,0.169921875,2,512,5.316913157934323,96.29647594223965,100.82632750688404,2959081472,False,official KellerJordan/Muon SingleDeviceMuonWithAuxAdam,,False,False
official_muon_wsd,1,work_1_case1_fg,muon_adamw,wsd,7332,9527370,0.109375,2,512,5.331593679031357,96.03132399485852,100.56343561690171,2959081472,False,official KellerJordan/Muon SingleDeviceMuonWithAuxAdam,,False,False
pace_muon_ema_control,2,ripper_0_case2,pace_muon,wsd,7333,9527370,0.138671875,2,512,39.3226794579532,13.020475894768802,13.114040587740478,2959081472,True,official Muon wrapped by vendored optimizer_experiments PACE,689568d71ebe92093e5f5bf433127a5184ef0c35,False,False
pace_muon_c1e3,3,ripper_2_case3,pace_muon,wsd,7334,9527370,0.099609375,2,512,38.99473840510473,13.129976528653287,13.220082789319637,2959081472,True,official Muon wrapped by vendored optimizer_experiments PACE,689568d71ebe92093e5f5bf433127a5184ef0c35,False,False
normuon_wsd,4,foureyes_1_case4,normuon_adamw,wsd,7335,9527370,0.130859375,2,512,37.186520596034825,13.768429844834534,13.864578693247779,2959081472,False,vendored optimizer_experiments Muon+NorMuon ablation,689568d71ebe92093e5f5bf433127a5184ef0c35,False,False
pace_normuon_c1e3,5,ai_0_case5,pace_normuon,wsd,7336,9527370,0.1796875,2,512,5.47729936199903,93.47672386727776,96.41071803447305,2959081472,True,vendored optimizer_experiments Muon+NorMuon wrapped by PACE,689568d71ebe92093e5f5bf433127a5184ef0c35,False,False
