run_id,git_commit,machine,gpu,seed,grid_offset,case_name,router_recipe,balance_recipe,balance_coeff,route_row_role,route_rows,route_result_rows,route_rows_output_count,route_rows_output_fraction,route_rows_contribute,depth,leaf_rows,shared_unrouted_frac,eligible_index,layer,sample_split,sample_batches,test_accessed,scheduler_status,trial_status,captured_tokens,observed_tokens,fit_tokens,metric_tokens,metric_split,metric_holdout_fraction,initial_normalized_mse,final_normalized_mse,nmse_delta,final_cosine_similarity,tokens_per_second,train_seconds,dead_leaves,route_entropy_mean,leaf_tokens_p10,leaf_tokens_p50,leaf_tokens_p90,route_churn_available,route_churn_fraction,route_churn_changed_tokens,route_churn_tokens,route_churn_initial_unique_leaves,route_churn_final_unique_leaves,route_churn_reason,active_rows_per_token,stored_rows,effective_stored_rows,route_output_rows_per_token,route_output_rows_per_node,locoprop_status,locoprop_mse_before,locoprop_mse_after,locoprop_nonincreasing
l7k_router_equal_budget_20260704_a1e311f_wave0,a1e311fcf924d5a18b8b503605d3ae12509cc2c8,foureyes,2,26008,1,vanilla_ste_seed21002,vanilla_ste,split_minleaf,0.001,split_routing_output,1,2,all,0.5,true,5,4,0.2,45,blocks.11.forward_block.mixer.mixer.out_proj,train_eval,1,false,succeeded,succeeded,32768,131072,29491,3277,holdout,0.1,1.008427381515503,0.7016168236732483,0.30681055784225464,0.49637797474861145,29537.60256225548,0.43334593500003393,1,0.0,2.0,7.0,15.899999618530273,true,0.5013732072017089,1643,3277,32,32,,47.0,259,228,5,1,succeeded,0.08877374976873398,0.07127145677804947,true
l7k_router_equal_budget_20260704_a1e311f_wave0,a1e311fcf924d5a18b8b503605d3ae12509cc2c8,foureyes,2,26008,1,vanilla_ste_seed21002,vanilla_ste,split_minleaf,0.001,split_routing_output,1,2,all,0.5,true,5,4,0.2,47,blocks.11.reverse_block.mixer.mixer.out_proj,train_eval,1,false,succeeded,succeeded,32768,131072,29491,3277,holdout,0.1,1.0087041854858398,0.6999189853668213,0.30878520011901855,0.4927106499671936,30881.088977215273,0.41449315499994555,1,0.0,1.0,5.5,17.799999237060547,true,0.5468416234360696,1792,3277,32,32,,47.0,259,228,5,1,succeeded,0.08251591771841049,0.06568409502506256,true
l7k_router_equal_budget_20260704_a1e311f_wave0,a1e311fcf924d5a18b8b503605d3ae12509cc2c8,foureyes,3,26009,2,vanilla_ste_seed21003,vanilla_ste,split_minleaf,0.001,split_routing_output,1,2,all,0.5,true,5,4,0.2,35,blocks.8.reverse_block.mixer.mixer.out_proj,train_eval,1,false,succeeded,succeeded,32768,131072,29491,3277,holdout,0.1,1.006970763206482,0.6562411785125732,0.3507295846939087,0.55644291639328,22220.980894983215,0.5760321769994334,0,0.0,2.0,4.5,14.599996566772461,true,0.6237412267317669,2044,3277,32,32,,47.0,259,228,5,1,succeeded,0.04156046733260155,0.03338657692074776,true
l7k_router_equal_budget_20260704_a1e311f_wave0,a1e311fcf924d5a18b8b503605d3ae12509cc2c8,foureyes,3,26009,2,vanilla_ste_seed21003,vanilla_ste,split_minleaf,0.001,split_routing_output,1,2,all,0.5,true,5,4,0.2,39,blocks.9.reverse_block.mixer.mixer.out_proj,train_eval,1,false,succeeded,succeeded,32768,131072,29491,3277,holdout,0.1,1.0085484981536865,0.6904654502868652,0.3180830478668213,0.5346390604972839,29927.641182991883,0.4276982579995092,0,0.0,1.0,4.0,16.0,true,0.6161122978333842,2019,3277,32,32,,47.0,259,228,5,1,succeeded,0.045569226145744324,0.03629495948553085,true
l7k_router_equal_budget_20260704_a1e311f_wave0,a1e311fcf924d5a18b8b503605d3ae12509cc2c8,foureyes,3,26009,2,vanilla_ste_seed21003,vanilla_ste,split_minleaf,0.001,split_routing_output,1,2,all,0.5,true,5,4,0.2,41,blocks.10.forward_block.mixer.mixer.out_proj,train_eval,1,false,succeeded,succeeded,32768,131072,29491,3277,holdout,0.1,1.0082095861434937,0.6964834332466125,0.3117261528968811,0.5367757678031921,28557.295705972698,0.4482217130007484,2,0.0,1.100000023841858,4.0,11.899999618530273,true,0.5352456515105279,1754,3277,32,32,,47.0,259,228,5,1,succeeded,0.048746876418590546,0.03894498571753502,true
l7k_router_equal_budget_20260704_a1e311f_wave0,a1e311fcf924d5a18b8b503605d3ae12509cc2c8,foureyes,3,26009,2,vanilla_ste_seed21003,vanilla_ste,split_minleaf,0.001,split_routing_output,1,2,all,0.5,true,5,4,0.2,43,blocks.10.reverse_block.mixer.mixer.out_proj,train_eval,1,false,succeeded,succeeded,32768,131072,29491,3277,holdout,0.1,1.007860541343689,0.6915024518966675,0.3163580894470215,0.5305286645889282,32083.530112255197,0.3989585920007812,0,0.0,2.0,5.0,15.79999828338623,true,0.5862068965517241,1921,3277,32,32,,47.0,259,228,5,1,succeeded,0.05974388122558594,0.04799177870154381,true
l7k_router_equal_budget_20260704_a1e311f_wave0,a1e311fcf924d5a18b8b503605d3ae12509cc2c8,foureyes,3,26009,2,vanilla_ste_seed21003,vanilla_ste,split_minleaf,0.001,split_routing_output,1,2,all,0.5,true,5,4,0.2,45,blocks.11.forward_block.mixer.mixer.out_proj,train_eval,1,false,succeeded,succeeded,32768,131072,29491,3277,holdout,0.1,1.0101628303527832,0.7115558981895447,0.2986069321632385,0.4882417321205139,29861.472930408036,0.42864596899926255,1,0.0,2.0,5.0,18.0,true,0.5709490387549588,1871,3277,32,32,,47.0,259,228,5,1,succeeded,0.08905811607837677,0.07184900343418121,true
l7k_router_equal_budget_20260704_a1e311f_wave0,a1e311fcf924d5a18b8b503605d3ae12509cc2c8,foureyes,3,26009,2,vanilla_ste_seed21003,vanilla_ste,split_minleaf,0.001,split_routing_output,1,2,all,0.5,true,5,4,0.2,47,blocks.11.reverse_block.mixer.mixer.out_proj,train_eval,1,false,succeeded,succeeded,32768,131072,29491,3277,holdout,0.1,1.0070059299468994,0.7013552188873291,0.3056507110595703,0.49098560214042664,31555.33982216209,0.40563657600068836,1,0.0,1.100000023841858,6.0,19.59999656677246,true,0.5108330790357034,1674,3277,32,32,,47.0,259,228,5,1,succeeded,0.08234836161136627,0.06569188833236694,true
l7k_router_equal_budget_20260704_a1e311f_wave1_ripper_alt,a1e311fcf924d5a18b8b503605d3ae12509cc2c8,ripper,1,26004,3,clipped_ste_seed21001,clipped_ste,split_minleaf,0.001,split_routing_output,1,2,all,0.5,true,5,4,0.2,35,blocks.8.reverse_block.mixer.mixer.out_proj,train_eval,1,false,succeeded,succeeded,32768,131072,29491,3277,holdout,0.1,1.0087498426437378,0.6530675292015076,0.3556823134422302,0.5604230165481567,20951.33082617968,0.6109397109994461,1,0.0,1.0,5.0,8.899999618530273,true,0.6789746719560573,2225,3277,32,32,,47.0,259,228,5,1,succeeded,0.041436392813920975,0.03326082602143288,true
l7k_router_equal_budget_20260704_a1e311f_wave1_ripper_alt,a1e311fcf924d5a18b8b503605d3ae12509cc2c8,ripper,1,26004,3,clipped_ste_seed21001,clipped_ste,split_minleaf,0.001,split_routing_output,1,2,all,0.5,true,5,4,0.2,39,blocks.9.reverse_block.mixer.mixer.out_proj,train_eval,1,false,succeeded,succeeded,32768,131072,29491,3277,holdout,0.1,1.0074442625045776,0.6926710605621338,0.31477320194244385,0.5310221910476685,29819.966194121313,0.4292426060001162,2,0.0,1.0,3.0,14.79999828338623,true,0.5559963381141287,1822,3277,32,32,,47.0,259,228,5,1,succeeded,0.04569845646619797,0.03620634973049164,true
