router_recipe,comparison_seeds,scheduler_seeds,seed_count,case_count,layer_records,mean_final_normalized_mse,std_final_normalized_mse,mean_final_cosine_similarity,mean_dead_leaves,mean_route_entropy,mean_leaf_tokens_p50,mean_tokens_per_second,mean_route_churn_fraction,test_accessed,sample_splits,git_commits
expert_choice_imitation,"21001,21002,21003","26013,26014",3,3,18,0.684392,0.017040,0.525758,0.277778,0.689301,6.777778,25953.993893,0.756688,false,train_eval,"a1e311fcf924d5a18b8b503605d3ae12509cc2c8,fbe1b3dd28945ade456d36e865d0f80e0998ea22"
utility_targeted_ste,"21001,21002,21003","26015,26016,26017",3,3,18,0.688554,0.017387,0.525697,1.333333,0.000000,5.722222,23492.167564,0.772302,false,train_eval,fbe1b3dd28945ade456d36e865d0f80e0998ea22
hard_em_utility_ste,"21001,21002,21003","26018,26019,26020",3,3,18,0.688585,0.017301,0.525663,1.722222,0.000000,5.694444,24142.829768,0.772760,false,train_eval,fbe1b3dd28945ade456d36e865d0f80e0998ea22
vanilla_ste,"21001,21002,21003","26007,26008,26009",3,3,18,0.688923,0.017678,0.524498,1.166667,0.000000,4.638889,29612.779735,0.573424,false,train_eval,a1e311fcf924d5a18b8b503605d3ae12509cc2c8
sigmoid_surrogate_ste,"21001,21002,21003","26006,26007,26008",3,3,18,0.689130,0.017889,0.524236,1.500000,0.000000,4.833333,28769.942864,0.578747,false,train_eval,a1e311fcf924d5a18b8b503605d3ae12509cc2c8
clipped_ste,"21001,21002,21003","26004,26005,26006",3,3,18,0.689432,0.017624,0.524100,1.277778,0.000000,4.666667,29186.269206,0.579748,false,train_eval,a1e311fcf924d5a18b8b503605d3ae12509cc2c8
st_gumbel,"21001,21002,21003","26009,26011,26012",3,3,18,0.696783,0.017227,0.520019,0.500000,0.000000,6.972222,30330.800526,0.432103,false,train_eval,a1e311fcf924d5a18b8b503605d3ae12509cc2c8
