run_id,git_commit,machine,gpu,seed,eligible_index,layer,sample_split,sample_batches,test_accessed,captured_tokens,observed_tokens,initial_nmse,final_nmse,nmse_delta,final_cosine_similarity,tokens_per_second,train_seconds,router_recipe,route_row_role,route_rows,route_result_rows,route_rows_output_count,route_rows_output_fraction,route_rows_contribute,route_entropy_mean,dead_leaves,leaf_tokens_p10,leaf_tokens_p50,leaf_tokens_p90,active_rows_per_token,stored_rows,effective_stored_rows,route_output_rows_per_token,route_output_rows_per_node,locoprop_status,locoprop_mse_before,locoprop_mse_after,locoprop_nonincreasing
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,work,1,1337,10,blocks.2.reverse_block.mixer.mixer.in_proj,val,2,False,32768,262144,1.012275218963623,0.052654415369033813,0.9596208035945892,0.9747512340545654,41133.111947626596,0.3111848190892488,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,17,0.0,0.0,17.59999656677246,345.0,433,402,5,1,succeeded,0.0418529249727726,0.012728395871818066,True
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,work,1,1337,11,blocks.2.reverse_block.mixer.mixer.out_proj,val,2,False,32768,262144,1.006204605102539,0.32949504256248474,0.6767095625400543,0.8126042485237122,47600.76328772251,0.26890325103886425,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,20,0.0,0.0,6.899999141693115,171.0,259,228,5,1,succeeded,0.014109688811004162,0.00831831805408001,True
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,work,1,1337,12,blocks.3.forward_block.mixer.mixer.in_proj,val,2,False,32768,262144,1.0147894620895386,0.06809797137975693,0.9466914907097816,0.9671465754508972,39427.165163482,0.3246492601465434,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,12,0.0,2.0,20.799999237060547,345.0,433,402,5,1,succeeded,0.042860593646764755,0.014201972633600235,True
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,work,1,1337,13,blocks.3.forward_block.mixer.mixer.out_proj,val,2,False,32768,262144,1.0048233270645142,0.39641693234443665,0.6084063947200775,0.751287043094635,39601.44412214433,0.32322053611278534,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,21,0.0,0.0,11.699997901916504,171.0,259,228,5,1,succeeded,0.03150877356529236,0.020603463053703308,True
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,ripper,0,1337,14,blocks.3.reverse_block.mixer.mixer.in_proj,val,2,False,32768,262144,1.0148025751113892,0.07273661345243454,0.9420659616589546,0.9647753238677979,33250.39239269744,0.3849578630179167,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,15,0.0,2.0,23.399995803833008,345.0,433,402,5,1,succeeded,0.036688752472400665,0.012477999553084373,True
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,ripper,0,1337,15,blocks.3.reverse_block.mixer.mixer.out_proj,val,2,False,32768,262144,1.0053369998931885,0.4231436848640442,0.5821933150291443,0.7658358812332153,33579.027223285244,0.3811903160531074,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,22,0.0,0.0,8.79999828338623,171.0,259,228,5,1,succeeded,0.018115585669875145,0.011671888642013073,True
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,ripper,0,1337,16,blocks.4.forward_block.mixer.mixer.in_proj,val,2,False,32768,262144,1.0156937837600708,0.09936721622943878,0.916326567530632,0.9515125155448914,42893.151782628884,0.2984159351326525,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,15,0.0,1.0,20.899999618530273,345.0,433,402,5,1,succeeded,0.03640015795826912,0.01396822277456522,True
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,ripper,0,1337,17,blocks.4.forward_block.mixer.mixer.out_proj,val,2,False,32768,262144,1.0059691667556763,0.49010169506073,0.5158674716949463,0.6922504901885986,41461.13496844767,0.30872285598888993,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,21,0.0,0.0,3.0,171.0,259,228,5,1,succeeded,0.020792078226804733,0.0148224588483572,True
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,ripper,0,1337,18,blocks.4.reverse_block.mixer.mixer.in_proj,val,2,False,32768,262144,1.0168606042861938,0.09092391282320023,0.9259366914629936,0.95564204454422,41301.34710324641,0.30991725204512477,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,14,0.0,1.0,20.499996185302734,345.0,433,402,5,1,succeeded,0.038794152438640594,0.014155175536870956,True
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,ripper,0,1337,19,blocks.4.reverse_block.mixer.mixer.out_proj,val,2,False,32768,262144,1.0081098079681396,0.49779075384140015,0.5103190541267395,0.7034759521484375,41338.13387557804,0.3096414569299668,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,18,0.0,0.0,10.499996185302734,171.0,259,228,5,1,succeeded,0.0186795424669981,0.013148171827197075,True
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,ripper,0,1337,20,blocks.5.forward_block.mixer.mixer.in_proj,val,2,False,32768,262144,1.0170859098434448,0.10514088720083237,0.9119450226426125,0.9495517611503601,43610.73884925063,0.29350569006055593,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,13,0.0,1.5,4.899999141693115,345.0,433,402,5,1,succeeded,0.04134569317102432,0.015694063156843185,True
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,ripper,2,1337,21,blocks.5.forward_block.mixer.mixer.out_proj,val,2,False,32768,262144,1.0043373107910156,0.5356885194778442,0.4686487913131714,0.6664568185806274,31232.2004693501,0.4098334349691868,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,17,0.0,0.0,31.199979782104492,171.0,259,228,5,1,succeeded,0.031855758279561996,0.023770228028297424,True
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,ripper,2,1337,22,blocks.5.reverse_block.mixer.mixer.in_proj,val,2,False,32768,262144,1.0187618732452393,0.11836642771959305,0.9003954455256462,0.9435069561004639,37980.87126191356,0.33701175288297236,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,16,0.0,0.5,13.399995803833008,345.0,433,402,5,1,succeeded,0.04344410449266434,0.016810009256005287,True
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,ripper,2,1337,23,blocks.5.reverse_block.mixer.mixer.out_proj,val,2,False,32768,262144,1.005426287651062,0.5339922308921814,0.4714340567588806,0.6236908435821533,38638.71426838169,0.331273962976411,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,13,0.0,1.0,16.099992752075195,171.0,259,228,5,1,succeeded,0.019655048847198486,0.014510883018374443,True
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,ripper,2,1337,24,blocks.6.forward_block.mixer.mixer.in_proj,val,2,False,32768,262144,1.0181248188018799,0.13868412375450134,0.8794406950473785,0.9332254528999329,41355.649808679766,0.30951031018048525,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,16,0.0,0.5,11.899999618530273,345.0,433,402,5,1,succeeded,0.052046485245227814,0.021713070571422577,True
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,ripper,2,1337,25,blocks.6.forward_block.mixer.mixer.out_proj,val,2,False,32768,262144,1.0091581344604492,0.6204773187637329,0.3886808156967163,0.6106932163238525,43931.93539986338,0.2913598020095378,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,14,0.0,1.0,12.699997901916504,171.0,259,228,5,1,succeeded,0.020243443548679352,0.015698228031396866,True
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,ripper,2,1337,26,blocks.6.reverse_block.mixer.mixer.in_proj,val,2,False,32768,262144,1.0194485187530518,0.13083435595035553,0.8886141628026962,0.9377366900444031,38910.69745235563,0.32895838003605604,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,16,0.0,0.5,15.899991989135742,345.0,433,402,5,1,succeeded,0.05147617682814598,0.020627262070775032,True
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,ripper,2,1337,27,blocks.6.reverse_block.mixer.mixer.out_proj,val,2,False,32768,262144,1.0079177618026733,0.6109112501144409,0.3970065116882324,0.6079224348068237,43181.08260822204,0.29642610205337405,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,19,0.0,0.0,13.099993705749512,171.0,259,228,5,1,succeeded,0.024450819939374924,0.018813196569681168,True
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,ripper,3,1337,28,blocks.7.forward_block.mixer.mixer.in_proj,val,2,False,32768,262144,1.0189499855041504,0.15146316587924957,0.8674868196249008,0.9291491508483887,31511.097444199604,0.4062061000149697,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,18,0.0,0.0,8.0,345.0,433,402,5,1,succeeded,0.05217772722244263,0.02147061377763748,True
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,ripper,3,1337,29,blocks.7.forward_block.mixer.mixer.out_proj,val,2,False,32768,262144,1.0079938173294067,0.5981863141059875,0.4098075032234192,0.6047059893608093,39027.66264308771,0.32797249779105186,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,14,0.0,1.0,7.0,171.0,259,228,5,1,succeeded,0.028558209538459778,0.02197956293821335,True
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,ripper,3,1337,30,blocks.7.reverse_block.mixer.mixer.in_proj,val,2,False,32768,262144,1.0187269449234009,0.15087899565696716,0.8678479492664337,0.9279083013534546,50770.01613273505,0.25211731204763055,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,13,0.0,1.5,13.79999828338623,345.0,433,402,5,1,succeeded,0.05868694558739662,0.024574728682637215,True
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,ripper,3,1337,31,blocks.7.reverse_block.mixer.mixer.out_proj,val,2,False,32768,262144,1.0067507028579712,0.6256627440452576,0.3810879588127136,0.5842616558074951,50720.5626342296,0.25236313114874065,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,14,0.0,1.0,8.699997901916504,171.0,259,228,5,1,succeeded,0.028671272099018097,0.02250051498413086,True
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,ripper,3,1337,32,blocks.8.forward_block.mixer.mixer.in_proj,val,2,False,32768,262144,1.0163154602050781,0.1625267118215561,0.853788748383522,0.9250009059906006,49668.16158991222,0.2577103639487177,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,16,0.0,0.5,14.599996566772461,345.0,433,402,5,1,succeeded,0.05840735137462616,0.024196671321988106,True
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,ripper,3,1337,33,blocks.8.forward_block.mixer.mixer.out_proj,val,2,False,32768,262144,1.0079468488693237,0.6413702964782715,0.36657655239105225,0.5661213397979736,49213.30496127459,0.26009226590394974,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,10,0.0,2.5,28.699996948242188,171.0,259,228,5,1,succeeded,0.03754567354917526,0.029020950198173523,True
distill_stage_f_shards_20260704_091746,f0053c0d904cb7c552f79e4d8c8fb534a3333aa1,ripper,3,1337,34,blocks.8.reverse_block.mixer.mixer.in_proj,val,2,False,32768,262144,1.0178087949752808,0.1649935245513916,0.8528152704238892,0.9228394031524658,48600.49779396474,0.2633717879652977,vanilla_ste,split_routing_output,1,2,all,0.5,True,0.0,12,0.0,1.0,7.0,345.0,433,402,5,1,succeeded,0.05951453745365143,0.025348858907818794,True
